Brand,Model,Category,Gender,Size,Color,Material,Price,image_path
Fila,Mindblower,Fashion,Women,US 7.5,White/Pink,Leather/Synthetic,$65.00,shoely_images/271.jpg
Skechers,Max Cushioning,Running,Men,US 11,Black,Mesh,$85.00,shoely_images/272.jpg
Nike,Air Max 2090,Running,Men,US 12,Black,Mesh/Synthetic,$150.00,shoely_images/273.jpg
Adidas,Superstar,Casual,Women,US 9.5,White/Black,Leather,$85.00,shoely_images/274.jpg
Reebok,Nano 9,Training,Men,US 10,Blue,Synthetic,$130.00,shoely_images/275.jpg
Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,$80.00,shoely_images/276.jpg
Puma,RS-X³,Lifestyle,Women,US 8.5,Pink,Mesh,$110.00,shoely_images/277.jpg
Vans,Slip-On,Casual,Men,US 10.5,Black/White,Canvas,$50.00,shoely_images/278.jpg
New Balance,Fresh Foam More v3,Running,Men,US 12,Black/Grey,Mesh,$165.00,shoely_images/279.jpg
Asics,GT-1000 9,Running,Women,US 6.5,Blue,Mesh,$90.00,shoely_images/280.jpg
Fila,T1 Mid,Casual,Men,US 11,White,Leather,$65.00,shoely_images/281.jpg
Skechers,Go Walk 5,Walking,Women,US 8.5,Black,Mesh,$60.00,shoely_images/282.jpg
Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00,shoely_images/283.jpg
Nike,Air Force 1,Casual,Men,US 9.5,White,Leather,$90.00,shoely_images/284.jpg
Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Knit,$140.00,shoely_images/285.jpg
Reebok,Nano X1,Crossfit,Men,US 10,Black,Mesh,$130.00,shoely_images/286.jpg
Converse,Chuck 70,Casual,Women,US 8.5,Ivory,Canvas,$85.00,shoely_images/287.jpg
Puma,Calibrate,Running,Men,US 8.5,Grey,Mesh,$130.00,shoely_images/288.jpg
Vans,SK8-Hi,Skate,Men,US 9.5,Black/White,Canvas,$70.00,shoely_images/289.jpg
New Balance,574,Casual,Women,US 7,Pink,Suede,$80.00,shoely_images/290.jpg
Asics,Gel-Quantum 180 6,Running,Men,US 11,Black,Mesh,$120.00,shoely_images/291.jpg
Fila,Mindblower,Fashion,Women,US 8,White,Leather/Synthetic,$65.00,shoely_images/292.jpg
Skechers,Max Cushioning,Running,Women,US 7.5,Black,Mesh,$90.00,shoely_images/293.jpg
Nike,Free RN Flyknit,Running,Men,US 10,Blue,Knit,$130.00,shoely_images/294.jpg
Adidas,Adizero Boston 9,Running,Women,US 6.5,Black,Mesh,$120.00,shoely_images/295.jpg
Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00,shoely_images/296.jpg
Converse,Run Star Hike,Casual,Women,US 8.5,White,Canvas,$110.00,shoely_images/297.jpg
Puma,Ralph Sampson,Casual,Men,US 11,White/Green,Leather,$80.00,shoely_images/298.jpg
